name;type;status;date;genres;score;members;rank;popularity;image;quantity
.hack//G.U. Returner;OVA;Finished Airing;Jan 18, 2007;Magic, Adventure, Fantasy, Game, Sci-Fi, Drama;6.73;N/A;4679;3604;https://cdn.myanimelist.net/images/anime/11/23181.jpg;1
.hack//G.U. Trilogy;Movie;Finished Airing;Mar 25, 2008;Action, Fantasy, Game, Sci-Fi;7.15;N/A;2946;2928;https://cdn.myanimelist.net/images/anime/4/23083.jpg;1
.hack//G.U. Trilogy: Parody Mode;Special;Finished Airing;Mar 25, 2008;Fantasy, Game, Comedy, Sci-Fi, Parody;6.46;N/A;6017;4816;https://cdn.myanimelist.net/images/anime/10/8661.jpg;1
.hack//Gift;OVA;Finished Airing;Nov 16, 2003;Comedy, Fantasy, Game;6.16;N/A;7407;3652;https://cdn.myanimelist.net/images/anime/2/23085.jpg;1
.hack//Intermezzo;Special;Finished Airing;Mar 28, 2003;Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi;6.57;N/A;5452;3464;https://cdn.myanimelist.net/images/anime/12/66499.jpg;1
.hack//Liminality;OVA;Finished Airing;Jun 20, 2002 to Apr 10, 2003;Game, Mystery, Sci-Fi;6.62;N/A;5238;2873;https://cdn.myanimelist.net/images/anime/7/23079.jpg;4
.hack//Quantum;OVA;Finished Airing;Jan 28, 2011 to Apr 7, 2011;Action, Adventure, Fantasy, Game, Sci-Fi;7.19;N/A;2777;2609;https://cdn.myanimelist.net/images/anime/5/28371.jpg;3
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!.hack//Quantum: Go, Our Chim Chims!!;Special;Finished Airing;Jan 28, 2011 to Apr 7, 2011;Game, Comedy;6.43;N/A;6141;5464;N/A;3
.hack//Roots;TV;Finished Airing;Apr 6, 2006 to Sep 28, 2006;Adventure, Drama, Fantasy, Game, Sci-Fi;6.92;N/A;3914;1797;https://cdn.myanimelist.net/images/anime/3/13050.jpg;26
.hack//Sign;TV;Finished Airing;Apr 4, 2002 to Sep 26, 2002;Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy;6.99;N/A;3627;894;https://cdn.myanimelist.net/images/anime/1443/94665.jpg;26
